# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
110000 0 0.01 288.87 -570.292 16969.1 -6085.14 -0.0149344 0.0153151
111000 0 0.01 298.835 -660.935 16709.3 -6063.9 0.00496387 -0.00457998
112000 0 0.01 290.956 711.95 16626.1 -6109.57 0.00170219 -0.00131537
113000 0 0.01 300.804 -195.053 16663.3 -6091.71 9.04553e-05 0.000297762
114000 0 0.01 309.363 -128.169 16646.4 -6079.66 -0.0187492 0.0191382
115000 0 0.01 303.528 -28.8852 16792 -6107.66 -0.0229454 0.0233309
116000 0 0.01 293.782 -514.368 17034 -6093.67 0.00651069 -0.00613196
117000 0 0.01 298.589 912.123 16857.9 -6101.2 -0.0107094 0.0110989
118000 0 0.01 307.457 -180.412 16900.3 -6090.2 0.0109415 -0.0105462
119000 0 0.01 312.499 -47.1605 16919.7 -6112.6 -0.0126538 0.0130422
120000 0 0.01 303.749 470.279 16768.3 -6069.19 0.00298554 -0.00260767
121000 0 0.01 282.065 -214.157 16418.4 -6101.53 -0.0170679 0.017451
122000 0 0.01 304.223 618.165 16516.8 -6035.55 0.0121375 -0.0117546
123000 0 0.01 299.716 -231.362 16609.4 -6085.44 -0.0170205 0.0174105
124000 0 0.01 288.94 -648.473 16648.7 -6057.57 -0.00541921 0.00580266
125000 0 0.01 310.148 1376.12 16540.8 -6081.19 0.00305535 -0.00267349
126000 0 0.01 298.423 188.734 16342 -6124.95 -0.00423378 0.00462162
127000 0 0.01 292.386 501.971 16563.6 -6048.48 -0.0118549 0.0122497
128000 0 0.01 291.807 -428.367 16577.5 -6079.75 0.00536984 -0.00497589
129000 0 0.01 281.323 -965.262 16513.7 -6056.18 0.0164979 -0.0161104
130000 0 0.01 306.626 120.142 16589.1 -6049.65 0.00654816 -0.00615965
131000 0 0.01 291.524 -656.149 16501.3 -6089.83 -0.00393631 0.00431591
132000 0 0.01 300.878 -1354.31 16756.1 -6084.97 -0.0201829 0.0205717
133000 0 0.01 301.42 -429.978 16734.7 -6083.81 -0.0112957 0.011681
134000 0 0.01 304.431 652.112 16849.8 -6101.98 -0.00347934 0.00387039
135000 0 0.01 308.916 158.545 17026.4 -6155.38 -0.0075609 0.00795228
136000 0 0.01 309.703 243.86 16770.3 -6108.17 0.00508763 -0.00470882
137000 0 0.01 295.853 -487.665 16717.3 -6076.59 -0.00210097 0.00248386
138000 0 0.01 281.057 92.5696 16829.3 -6108.54 -0.00198302 0.00236869
139000 0 0.01 309.198 -358.78 16990.6 -6106.57 0.00876651 -0.00838457
140000 0 0.01 300.504 -153.763 16914.9 -6048.56 -0.0200612 0.0204491
141000 0 0.01 304.327 -579.979 16854.3 -6105.48 -0.0160736 0.0164571
142000 0 0.01 294.36 967.438 16810.9 -6108.26 -0.00195659 0.00234133
143000 0 0.01 308.374 1234.23 16813.7 -6081.17 0.00134836 -0.000958982
144000 0 0.01 299.575 -673.849 16842.8 -6123.18 -0.00258619 0.00296745
145000 0 0.01 291.594 716.028 16581.2 -6012.13 -0.00666726 0.00705828
146000 0 0.01 297.954 190.258 16550.8 -6111.23 -0.0146125 0.015006
147000 0 0.01 309.047 574.242 16446.5 -6034.44 -0.021394 0.0217752
148000 0 0.01 290.411 -58.6354 16477.2 -6061.01 -0.00440889 0.00479101
149000 0 0.01 300.393 -203.972 17007.3 -6072 -0.00337341 0.00376306
150000 0 0.01 308.004 662.881 16788.5 -6063.17 -0.00503224 0.00541721
151000 0 0.01 293.193 -275.679 16510.8 -6060.73 -0.00447504 0.00486005
152000 0 0.01 299.965 205.953 16943.9 -6072.18 -0.0038181 0.00419993
153000 0 0.01 297.199 -413.095 16989.5 -6082.6 0.00854766 -0.00815551
154000 0 0.01 308.889 238.827 16679.9 -6079.83 -0.00871998 0.00911798
155000 0 0.01 307.26 -781.222 16712.2 -6059.25 0.0176071 -0.0172284
156000 0 0.01 292.101 600.367 16687.7 -6087.98 -0.0153268 0.0157045
157000 0 0.01 307.559 -258.638 16820.5 -6073.43 0.00381621 -0.00343216
158000 0 0.01 289.599 -747.715 16817.4 -6085.57 0.00727083 -0.00687936
159000 0 0.01 291.504 -993.115 16841.6 -6050.12 0.00520583 -0.00482031
160000 0 0.01 305.496 -449.143 16615.6 -6135.69 0.012661 -0.012273
161000 0 0.01 300.22 219.721 16618.7 -6091.16 -0.00365514 0.00404257
162000 0 0.01 295.585 -324.327 16441.4 -6126.36 -0.00587941 0.0062747
163000 0 0.01 289.009 -632.321 16616.3 -6101.47 -0.0122747 0.0126592
164000 0 0.01 300.841 932.319 16582.6 -6152.16 -0.00547545 0.00585883
165000 0 0.01 295.683 308.412 16749.6 -6042.82 -0.0390591 0.0394489
166000 0 0.01 292.091 -816.111 16912.5 -6079.67 0.00838663 -0.00800772
167000 0 0.01 300.115 371.353 16906.1 -6056.41 -0.0121475 0.0125365
168000 0 0.01 303.373 732.296 16822.3 -6027.71 -0.00596309 0.00635549
169000 0 0.01 296.449 -1025.9 16979.8 -6106.29 0.00746293 -0.00708423
170000 0 0.01 289.79 -469.614 16837.6 -6075.96 -0.0210754 0.0214691
171000 0 0.01 297.142 317.046 16738.7 -6114.64 0.0015169 -0.00113203
172000 0 0.01 305.266 -659.221 16858 -6113.32 -0.0133048 0.0136789
173000 0 0.01 304.63 -862.936 16741.7 -6075.95 -0.0172867 0.0176715
174000 0 0.01 303.713 30.8278 16816.7 -6104.05 -0.0167365 0.0171308
175000 0 0.01 313.768 -136.84 16591.1 -6131.26 -0.00372165 0.00410201
176000 0 0.01 299.594 -182.931 16730.3 -6102.95 -0.0146385 0.015024
177000 0 0.01 302.529 -237.694 16686.4 -6029.77 0.0108057 -0.0104144
178000 0 0.01 297.383 -1560.95 16804.7 -6089.66 -0.0151407 0.0155281
179000 0 0.01 302.879 -302.406 16797.9 -6090.94 0.00429141 -0.00390949
180000 0 0.01 294.641 -404.924 16734.4 -6147.48 0.00558291 -0.00520213
181000 0 0.01 305.373 -1345.63 16786.1 -6105.49 -0.0184638 0.0188451
182000 0 0.01 308.209 16.3017 16743.4 -6143.96 0.000259388 0.00013174
183000 0 0.01 303.751 442.362 16948.1 -6018.16 -0.00698663 0.00737539
184000 0 0.01 289.86 117.237 16986.5 -6025.7 -0.00380688 0.0041891
185000 0 0.01 306.292 1190.49 16757.1 -6063.9 0.0158028 -0.0154252
186000 0 0.01 314.836 237.69 16817.7 -6114.34 -0.00475193 0.00513955
187000 0 0.01 294.327 250.362 16684.4 -6157.04 -0.00230769 0.00269151
188000 0 0.01 312.789 -718.522 16674.8 -6160.67 -0.000686853 0.00106636
189000 0 0.01 303.36 -106.783 16996 -6158.33 0.00205398 -0.00167023
190000 0 0.01 305.45 -329.187 16933 -6126.79 0.00318401 -0.00279615
191000 0 0.01 298.841 640.497 16512.4 -6115.67 0.00997656 -0.00958704
192000 0 0.01 291.85 387.71 16674.8 -6125.86 0.00256056 -0.00217434
193000 0 0.01 303.963 -512.096 16662.8 -6156.5 0.0166779 -0.0162984
194000 0 0.01 294.052 -392.168 16617.9 -6124.91 0.0144355 -0.0140502
195000 0 0.01 297.638 566.873 16688.2 -6083.18 -0.00919127 0.00957768
196000 0 0.01 297.817 633.831 16652.2 -6086.8 0.0377032 -0.037315
197000 0 0.01 307.48 -5.66561 16719.4 -6075.7 -0.000251399 0.000634666
198000 0 0.01 305.35 505.225 16684.5 -6057.73 -0.0283082 0.0286938
199000 0 0.01 289.2 -859.204 16951.5 -6046.94 -0.00369714 0.00408336
200000 0 0.01 297.403 410.692 16780.5 -6084.37 0.0122488 -0.0118686
201000 0 0.01 298.949 -780.205 17034.4 -6075.34 -0.0088023 0.00918085
202000 0 0.01 302.883 842.995 16791 -6078.56 -0.00356198 0.00394682
203000 0 0.01 298.298 16.6636 16787.2 -6113.44 0.00228426 -0.00189865
204000 0 0.01 294.107 282.15 16637.3 -6097.71 -0.00738195 0.00776763
205000 0 0.01 309.811 -959.654 16671.7 -6131.3 -0.00246004 0.00284164
206000 0 0.01 300.229 332.367 16423.4 -6089.72 -0.0175517 0.0179421
207000 0 0.01 289.346 -413.297 16697.4 -6079.92 -0.00742404 0.00780491
208000 0 0.01 305.113 633.8 16527 -6164.94 0.0069591 -0.00657836
209000 0 0.01 297.654 244.917 16554.6 -6095.47 0.0107985 -0.010407
210000 0 0.01 300.372 -29.2311 16428.3 -6094.56 0.00853368 -0.00815131
211000 0 0.01 297.562 330.002 16673.6 -6192.11 0.00358385 -0.00318976
212000 0 0.01 314.027 -699.714 16889.2 -6068.96 -0.00801808 0.00839656
213000 0 0.01 294.797 -727.519 16690.9 -6127.98 0.0266054 -0.0262214
214000 0 0.01 305.048 -731.397 16486.3 -6064.99 -0.0132812 0.0136664
215000 0 0.01 290.311 497.898 16678.3 -6082.49 0.0126049 -0.0122135
216000 0 0.01 296.618 -1023.97 16659.7 -6085.54 0.0146786 -0.0142958
217000 0 0.01 301.895 411.03 16512 -6142.02 0.00398504 -0.00360433
218000 0 0.01 295.111 290.968 16465 -6148.79 -0.0228298 0.0232201
219000 0 0.01 309.445 -394.558 16699.3 -6147.67 -0.00368365 0.00407286
220000 0 0.01 296.525 10.0761 16545.4 -6074.39 -0.0231457 0.0235243
221000 0 0.01 302.198 508.307 16867.5 -6064.53 0.0100382 -0.00964816
222000 0 0.01 298.899 -938.813 17010.3 -6161.12 -0.0180536 0.0184504
223000 0 0.01 286.302 -512.455 16830.7 -6066.41 -0.0253992 0.0257882
224000 0 0.01 297.599 1054.33 16503.3 -6158.14 -0.0140546 0.0144375
225000 0 0.01 298.353 -399.89 16643.9 -6143 0.00494454 -0.00456627
226000 0 0.01 290.764 -87.7289 16829 -6091.51 0.015007 -0.0146278
227000 0 0.01 304.722 -146.751 16991.2 -6069.65 -0.0117802 0.0121765
228000 0 0.01 308.684 28.2902 16903.2 -6042.11 0.0267947 -0.0264119
229000 0 0.01 300.19 420.64 16893.1 -6048.7 0.00439993 -0.00401835
230000 0 0.01 294.294 104.785 16807.8 -6056.07 0.0061523 -0.00576239
231000 0 0.01 300.701 525.908 16811.5 -6114.49 -0.018056 0.0184491
232000 0 0.01 299.082 388.952 16624.6 -6090.71 -0.000550728 0.000943336
233000 0 0.01 301.244 1365.6 16483.7 -6051.01 -0.0188213 0.019219
234000 0 0.01 296.187 -741.661 16658.7 -6103.62 -0.00725769 0.00764263
235000 0 0.01 303.202 -541.619 16975.9 -6055.45 0.00592436 -0.00553928
236000 0 0.01 286.043 524.557 16849.9 -6053.95 0.00189365 -0.00151306
237000 0 0.01 289.459 158.503 16915.7 -6107.2 0.00382722 -0.00343918
238000 0 0.01 305.479 -392.67 17149.4 -6145.03 4.57098e-05 0.000338818
239000 0 0.01 301.461 -778.411 16965.2 -6081.71 -0.00611342 0.0064937
240000 0 0.01 298.534 255.587 16608.4 -6054.3 -0.0181377 0.01853
241000 0 0.01 314.606 950.87 16589.9 -6071.16 -0.0161291 0.0165243
242000 0 0.01 291.934 -187.384 16664.6 -6074.92 -0.00547052 0.00584992
243000 0 0.01 307.766 -515.42 16899.6 -6117.56 0.00426278 -0.00388464
244000 0 0.01 301.891 146.254 16810 -6116.28 0.0122311 -0.0118434
245000 0 0.01 312.044 1337.62 16390.8 -6146.48 -0.00655675 0.00694684
246000 0 0.01 308.416 -490.744 17086.7 -6161.52 0.00611114 -0.00571202
247000 0 0.01 293.565 -49.7414 16854.8 -6146.44 -0.00456511 0.00495265
248000 0 0.01 308.915 -190.446 16714.2 -6110.24 0.00136005 -0.000966772
249000 0 0.01 299.614 884.82 16500.1 -6127.83 -0.00310162 0.00349315
250000 0 0.01 300.597 -1079.42 16556.4 -6152.94 -0.00500275 0.00539211
251000 0 0.01 289.407 -348.369 16616.3 -6170.33 -0.000799718 0.00118447
252000 0 0.01 297.467 -224.579 16601.7 -6106.12 -0.00851006 0.00889414
253000 0 0.01 297.623 1522.23 16265.5 -6079.17 0.00548274 -0.00509045
254000 0 0.01 286.787 1430.07 16226.3 -6092.07 0.00429808 -0.0039117
255000 0 0.01 312.378 -208.041 16509.5 -6117.72 -0.0167587 0.0171465
256000 0 0.01 303.402 -681.25 16526 -6155.34 -0.0108436 0.0112316
257000 0 0.01 292.057 399.995 16523.2 -6058.58 -0.0151576 0.0155515
258000 0 0.01 300.162 868.16 16572.7 -6138.21 0.00944702 -0.00905915
259000 0 0.01 302.252 216.024 16529.6 -6073.97 -0.0061534 0.00654097
260000 0 0.01 300.267 -116.977 16896.6 -6128.52 -0.00717837 0.00756366
261000 0 0.01 313.537 -161.098 16814.9 -6104.9 -0.0111983 0.0115823
262000 0 0.01 304.736 -21.6782 16915.5 -6024.43 0.00491907 -0.00452549
263000 0 0.01 300.25 244.023 16609.4 -6095.23 -0.0101862 0.010577
264000 0 0.01 303.241 -300.251 16834.3 -6095.35 -0.0113442 0.0117308
265000 0 0.01 295.674 -322.102 16861 -6114.98 0.000980372 -0.000587191
266000 0 0.01 309.209 -537.344 16857 -6076 -0.0133598 0.0137572
267000 0 0.01 282.746 -28.0939 16520.6 -6047.16 -0.00824745 0.00863875
268000 0 0.01 315.891 -17.5678 16524.1 -6095.98 0.000201428 0.000180055
269000 0 0.01 304.934 -326.7 16681.1 -6126.14 0.000919936 -0.00053053
270000 0 0.01 290.551 -431.339 16591 -6003.44 0.0151773 -0.0147841
271000 0 0.01 298.01 524.413 16503.6 -6091.09 -0.0174246 0.0178187
272000 0 0.01 305.498 227.069 16530.5 -6139.11 -0.0190836 0.0194678
273000 0 0.01 297.477 170.148 16825.8 -6114.51 -0.0456107 0.0459987
274000 0 0.01 307.433 -222.847 16711.4 -6076.05 -0.0112317 0.0116226
275000 0 0.01 297.912 -12.0399 16500.4 -6138.5 -0.0088665 0.00926112
276000 0 0.01 291.937 403.858 16596.2 -6108.57 -0.0100863 0.0104706
277000 0 0.01 302.454 975.008 16326.5 -6132.58 0.0047485 -0.00436553
278000 0 0.01 293.048 -870.981 16522.7 -6146.53 -0.00157415 0.00196046
279000 0 0.01 308.796 475.836 16767.9 -6180.12 -0.0233897 0.023783
280000 0 0.01 286.329 930.863 16825.5 -6110.01 -0.00228316 0.00267116
281000 0 0.01 294.203 -460.997 16754.3 -6133.64 -0.00635798 0.0067584
282000 0 0.01 295.221 -45.6683 16669.8 -6096.38 0.012431 -0.012032
283000 0 0.01 289.575 -389.149 16876.2 -6050.18 -0.00418574 0.00457897
284000 0 0.01 293.185 -507.31 16954.4 -6144.33 -0.0091176 0.00951275
285000 0 0.01 291.897 318.315 16756.9 -6098.22 0.00245266 -0.00206143
286000 0 0.01 299.668 253.157 16682 -6053.38 0.000203123 0.000175847
287000 0 0.01 302.311 -315.786 16511.7 -6055.98 -0.00383833 0.00421771
