# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
21103000 0.4 0.01 289.488 295.023 16843.3 -5994.38 -0.00672761 0.00711382
21104000 0.4 0.01 309.23 -1212.57 17119.8 -6063.23 -0.0222529 0.0226394
21105000 0.4 0.01 297.744 -485.85 16955 -6079.08 -0.0316159 0.0320007
21106000 0.4 0.01 294.685 -20.2217 16828.2 -6162.24 -0.0117249 0.012107
21107000 0.4 0.01 293.104 -495.666 16860.1 -6070.28 -0.0196585 0.020042
21108000 0.4 0.01 312.633 -838.626 16875.6 -6140.98 -0.0285765 0.0289627
21109000 0.4 0.01 292.074 689.824 16527.6 -6116.71 -0.0144734 0.0148531
21110000 0.4 0.01 297.063 5.28565 16608.3 -6101.96 -0.00406313 0.0044432
21111000 0.4 0.01 291.631 1248.11 16691.5 -6112.93 -0.0195312 0.0199126
21112000 0.4 0.01 286.382 195.294 16858.3 -6087.69 0.00379714 -0.0034059
21113000 0.4 0.01 292.552 -332.002 16948.5 -6088.47 -0.00161302 0.00199917
21114000 0.4 0.01 305.001 -407.266 16751.8 -6107.79 -0.029506 0.0298918
21115000 0.4 0.01 310.411 -281.465 16596.1 -6036.76 -0.029678 0.0300669
21116000 0.4 0.01 292.606 146.332 16821.1 -6075.8 -0.00882989 0.00921915
21117000 0.4 0.01 308.007 194.425 16682.3 -6126.27 -0.00189887 0.00228177
21118000 0.4 0.01 293.926 -921.079 17127.3 -6093.64 -0.00505496 0.00544224
21119000 0.4 0.01 296.516 1269.38 16680.6 -6101.7 0.00033098 5.71476e-05
21120000 0.4 0.01 305.937 -67.1512 16876.8 -6060.75 0.0087574 -0.00836664
21121000 0.4 0.01 296.083 -93.7234 16875.6 -6085.75 0.00693224 -0.00654283
21122000 0.4 0.01 307.595 -80.2799 16642 -6077.99 -0.0279307 0.0283171
21123000 0.4 0.01 299.014 -401.798 16904.6 -6122.11 -0.0268357 0.0272191
21124000 0.4 0.01 305.499 351.986 16545.2 -6111.94 0.0194858 -0.0190968
21125000 0.4 0.01 297.296 -61.4224 16713.4 -6083.02 0.00156734 -0.0011804
21126000 0.4 0.01 286.49 67.915 16829.6 -6072.92 -0.0239441 0.0243219
21127000 0.4 0.01 299.231 1068.54 16149.4 -6158.73 -0.0073844 0.00777336
21128000 0.4 0.01 306.86 1560.09 16407.6 -6113.11 -0.0097872 0.0101753
21129000 0.4 0.01 289.338 1078.24 16617.1 -6115.56 -0.0180063 0.018392
21130000 0.4 0.01 299.79 -703.633 16863.9 -6071.51 -0.0159283 0.0163178
21131000 0.4 0.01 306.742 0.101888 16826.5 -6084.15 0.013197 -0.0128067
21132000 0.4 0.01 281.856 -193.462 16855 -6084.68 -0.0284651 0.0288514
21133000 0.4 0.01 306.853 125.146 16620.1 -6119.54 -0.0097826 0.0101659
21134000 0.4 0.01 313.494 -146.48 16685.3 -6071.35 -0.0228801 0.0232691
21135000 0.4 0.01 289.112 467.263 16939.4 -6064.31 -0.00980617 0.0101958
21136000 0.4 0.01 304.387 33.7399 16831.9 -6075.32 -0.0115651 0.0119564
21137000 0.4 0.01 300.745 596.228 16654.7 -6039.6 -0.0241827 0.0245704
21138000 0.4 0.01 310.089 -124.047 16766.3 -6123.49 -0.0015412 0.00192348
21139000 0.4 0.01 302.852 -454.133 16598.5 -6044.16 0.0342121 -0.0338244
21140000 0.4 0.01 299.336 -188.879 16528.5 -6103.72 0.00204976 -0.00166703
21141000 0.4 0.01 295.795 1012.19 16791.6 -6044.15 -0.0198169 0.0201982
21142000 0.4 0.01 316.368 -68.6203 16924.6 -6090.14 -0.00538802 0.00577886
21143000 0.4 0.01 300.735 -523.092 17002 -6087.28 -0.004619 0.0050136
21144000 0.4 0.01 296.977 -1287.34 16833.9 -6038.66 0.00184788 -0.00146519
21145000 0.4 0.01 295.105 -97.4931 16796.2 -6052.19 0.0032818 -0.00289485
21146000 0.4 0.01 315.359 1714.42 16458.6 -6103.36 0.00173172 -0.00134485
21147000 0.4 0.01 311.691 -270 16769.2 -6102.57 -0.000875969 0.0012672
21148000 0.4 0.01 300.397 -495.936 16676.3 -6122.51 -0.0285217 0.02892
21149000 0.4 0.01 306.29 -315.331 16924.6 -6043.22 -0.0104712 0.0108574
21150000 0.4 0.01 303.941 507.122 16707.2 -6093.75 -0.0176943 0.0180839
21151000 0.4 0.01 298.958 -492.003 16907.9 -6050.78 -0.00431669 0.00470314
21152000 0.4 0.01 310.644 301.729 16700.3 -6116.7 -0.0311691 0.0315571
21153000 0.4 0.01 302.044 -211.133 16535.4 -6053.49 0.0147365 -0.0143435
21154000 0.4 0.01 306.645 608.606 16547.9 -6089.01 -0.00550512 0.0058871
21155000 0.4 0.01 307.423 -249.869 16879.6 -6066.43 -0.0100082 0.0103921
21156000 0.4 0.01 295.44 -1397.02 16715.6 -6084.81 0.0234897 -0.0231024
