# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
21023000 0.6 0.01 239.189 -96.8031 16596.4 11.4705 -0.022988 0.0233744
21024000 0.6 0.01 323.702 -145.766 16596.4 13.6518 -0.0227707 0.0231534
21025000 0.6 0.01 330.178 76.3981 16596.4 16.4746 -0.0230306 0.0234177
21026000 0.6 0.01 278.143 3.63409 16596.4 12.3388 -0.0224228 0.0227996
21027000 0.6 0.01 255.239 284.054 16596.4 15.129 -0.0237897 0.0241895
21028000 0.6 0.01 233.502 -173.323 16596.4 21.6283 -0.022936 0.0233215
21029000 0.6 0.01 195.082 -136.304 16596.4 15.1518 -0.0229865 0.0233728
21030000 0.6 0.01 177.599 -40.9467 16596.4 12.6643 -0.0232809 0.0236721
21031000 0.6 0.01 376.212 -46.6304 16596.4 13.0369 -0.0226877 0.023069
21032000 0.6 0.01 186.864 176.03 16596.4 11.5443 -0.0231726 0.023562
21033000 0.6 0.01 280.407 -3.88987 16596.4 14.6693 -0.0225081 0.0228864
21034000 0.6 0.01 475.852 22.1114 16596.4 11.7444 -0.0231251 0.0235137
21035000 0.6 0.01 364.031 -148.574 16596.4 12.19 -0.0228428 0.0232267
21036000 0.6 0.01 243.119 -21.1889 16596.4 13.076 -0.0230928 0.0234809
21037000 0.6 0.01 353.868 98.4446 16596.4 13.1847 -0.0228353 0.0232191
21038000 0.6 0.01 240.12 12.7427 16596.4 14.9888 -0.0225824 0.0229619
21039000 0.6 0.01 253.248 107.556 16596.4 15.1765 -0.0234698 0.0238643
21040000 0.6 0.01 364.97 -65.8146 16596.4 19.9673 -0.0234905 0.0238853
21041000 0.6 0.01 355.955 -255.493 16596.4 15.7551 -0.0226261 0.0230063
21042000 0.6 0.01 251.533 54.625 16596.4 9.54381 -0.0231282 0.0235169
21043000 0.6 0.01 357.934 252.9 16596.4 12.7042 -0.0235098 0.0239049
21044000 0.6 0.01 434.707 -119.08 16596.4 20.9513 -0.0223106 0.0226855
21045000 0.6 0.01 292.251 63.8472 16596.4 11.9054 -0.0234347 0.0238285
21046000 0.6 0.01 296.586 -249.648 16596.4 13.8801 -0.0226619 0.0230428
21047000 0.6 0.01 226.943 91.3689 16596.4 17.7112 -0.0237344 0.0241333
21048000 0.6 0.01 198.198 28.606 16596.4 15.1643 -0.0228475 0.0232315
21049000 0.6 0.01 384.361 97.925 16596.4 17.0155 -0.023058 0.0234455
21050000 0.6 0.01 263.894 39.5509 16596.4 17.7079 -0.0234288 0.0238226
21051000 0.6 0.01 188.822 -268.465 16596.4 13.4841 -0.0224816 0.0228595
21052000 0.6 0.01 302.171 132.035 16596.4 15.5516 -0.0237941 0.024194
21053000 0.6 0.01 311.845 43.5005 16596.4 12.1994 -0.0228247 0.0232083
21054000 0.6 0.01 306.292 48.764 16596.4 12.2671 -0.0226414 0.0230219
21055000 0.6 0.01 431.134 61.1976 16596.4 16.5113 -0.0234852 0.0238799
21056000 0.6 0.01 321.148 -274.357 16596.4 15.9859 -0.022499 0.0228771
21057000 0.6 0.01 290.469 -33.9902 16596.4 10.7328 -0.0228629 0.0232472
21058000 0.6 0.01 361.857 153.473 16596.4 13.2401 -0.0230269 0.0234139
21059000 0.6 0.01 432.267 152.725 16596.4 18.6822 -0.0230376 0.0234248
21060000 0.6 0.01 326.658 -121.263 16596.4 14.6803 -0.022641 0.0230215
21061000 0.6 0.01 200.133 -6.75201 16596.4 15.0226 -0.0235041 0.0238991
21062000 0.6 0.01 325.531 -245.453 16596.4 16.1443 -0.0227648 0.0231474
21063000 0.6 0.01 301.51 40.6328 16596.4 18.4099 -0.0235176 0.0239129
21064000 0.6 0.01 258.719 55.3216 16596.4 15.691 -0.0229626 0.0233485
21065000 0.6 0.01 246.908 256.304 16596.4 17.3318 -0.023761 0.0241604
21066000 0.6 0.01 268.587 -215.2 16596.4 16.1881 -0.0224323 0.0228093
