# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_param2 v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
30153000 0.1 0.01 0 300.134 186.788 16456 -6036.8 -0.000444704 0.000685918
30154000 0.1 0.01 0 292.018 573.641 16559.9 -6059.18 -0.000434682 0.000668849
30155000 0.1 0.01 0 314.719 589.182 16381.1 -6075.91 -0.000345745 0.000543222
30156000 0.1 0.01 0 311.716 264.788 16637 -6130.25 -0.000282275 0.000450716
30157000 0.1 0.01 0 297.927 -186.999 16554.7 -6130.54 -0.000488775 0.00074821
30158000 0.1 0.01 0 294.308 1038.83 16334.1 -6091 -0.000503717 0.000776692
30159000 0.1 0.01 0 296.904 618.282 16730.4 -6085.28 -0.000615177 0.000927849
30160000 0.1 0.01 0 295.242 840.989 16610.2 -6039.96 -0.000475809 0.000733382
30161000 0.1 0.01 0 283.295 -569.534 16683.7 -6101.75 -0.000559235 0.00085155
30162000 0.1 0.01 0 299.738 308.27 16465.4 -6086.83 -0.000542946 0.000829489
30163000 0.1 0.01 0 296.917 -143.143 16595.9 -6066.93 -0.000648029 0.000979072
30164000 0.1 0.01 0 307.48 -66.417 16552 -6067.2 -0.000278155 0.000442463
30165000 0.1 0.01 0 300.68 -782.052 16659.9 -6069 -0.000601287 0.000912265
30166000 0.1 0.01 0 311.796 -97.7232 16785.8 -6070.12 -0.000608979 0.000923783
30167000 0.1 0.01 0 297.752 -79.1516 16506.7 -6097.86 -0.000309539 0.000490364
30168000 0.1 0.01 0 299.967 -134.318 16584.1 -6015.37 -0.000412399 0.000638748
30169000 0.1 0.01 0 305.68 41.7093 16478.6 -6146.37 -0.000490201 0.000751529
30170000 0.1 0.01 0 303.458 -57.4261 16914.2 -6122.62 -0.000575753 0.000875338
30171000 0.1 0.01 0 310.232 96.2458 16901.5 -6122.41 -0.000409061 0.000630223
30172000 0.1 0.01 0 301.615 549.679 16724.1 -6134.7 -0.000538675 0.000819644
30173000 0.1 0.01 0 305.544 -661.259 16665 -6158.59 -0.000632667 0.000956548
30174000 0.1 0.01 0 308.107 133.853 16563.5 -6130 -0.000439374 0.000680995
30175000 0.1 0.01 0 304.002 498.045 16647.6 -6109.29 -0.00063361 0.000959856
30176000 0.1 0.01 0 304.436 839.895 16436.1 -6091.74 -0.000375478 0.000583103
30177000 0.1 0.01 0 290.445 -4.02154 16561.7 -6123.13 -0.000370702 0.000579476
30178000 0.1 0.01 0 296.189 -523.589 16790.1 -6052.21 -0.000602436 0.00091593
30179000 0.1 0.01 0 294.132 395.347 16591.4 -6098.07 -0.000674288 0.00101898
30180000 0.1 0.01 0 297.332 -322.989 16770 -6080.28 -0.00019948 0.00032802
30181000 0.1 0.01 0 290.169 863.209 16587.6 -6059.99 -0.000557812 0.00084535
30182000 0.1 0.01 0 305.896 -226.24 16649.8 -6103.3 -0.000738823 0.00111002
30183000 0.1 0.01 0 302.395 110.124 16710.6 -6120.77 -0.00054044 0.000823332
30184000 0.1 0.01 0 295.48 -218.031 16828 -6081.77 -0.00045398 0.000699086
30185000 0.1 0.01 0 284.393 -611.908 16999.1 -6121.61 -0.000442161 0.000681273
30186000 0.1 0.01 0 292.535 -678.194 16765.6 -6115.05 -0.000370455 0.000577253
30187000 0.1 0.01 0 306.352 -852.907 16281.4 -6145.49 -0.000517528 0.000790382
30188000 0.1 0.01 0 311.987 585.247 16556.3 -6067.44 -0.000575739 0.000875554
30189000 0.1 0.01 0 299.329 169.71 16786.5 -6051.29 -0.000610472 0.000925604
30190000 0.1 0.01 0 296.619 1029.37 16462.5 -6054.32 -0.000463057 0.000714303
30191000 0.1 0.01 0 305.707 529.145 16697 -6108.37 -0.00031344 0.00049536
30192000 0.1 0.01 0 293.59 -305.763 16891.2 -6106.92 -0.000634485 0.000961371
30193000 0.1 0.01 0 301.666 390.431 16636.5 -6127.62 -0.000487149 0.000743424
30194000 0.1 0.01 0 306.098 -658.588 16684.5 -6085.73 -0.000423822 0.000655221
30195000 0.1 0.01 0 295.001 -948.045 16998.9 -6018.06 -0.000389284 0.0006059
30196000 0.1 0.01 0 303.897 222.489 16776.6 -6122.86 -0.000493184 0.000756561
30197000 0.1 0.01 0 290.068 529.35 16620.4 -6167.43 -0.000498134 0.000765475
30198000 0.1 0.01 0 300.753 -796.282 16810.7 -6138.07 -0.00048498 0.000745313
30199000 0.1 0.01 0 306.308 -216.531 16676 -6061.24 -0.0003612 0.000568578
30200000 0.1 0.01 0 284.224 -463.192 16762.9 -6116.77 -0.000413428 0.000640078
30201000 0.1 0.01 0 298.765 -97.8439 16571.6 -6136.91 -0.000636202 0.000964158
30202000 0.1 0.01 0 302.374 73.5355 16686 -6096.69 -0.000523794 0.000797925
30203000 0.1 0.01 0 319.083 -191.927 16875.2 -6131.73 -0.000553494 0.000841506
30204000 0.1 0.01 0 291.225 173.942 16735.5 -6129.91 -0.000579489 0.000878271
30205000 0.1 0.01 0 288.555 118.653 16640.7 -6100.97 -0.000415221 0.000640833
30206000 0.1 0.01 0 297.01 702.675 16521.8 -6083.27 -0.000412996 0.000642212
30207000 0.1 0.01 0 305.548 -77.3137 16681.8 -6058.57 -0.000304701 0.00048521
30208000 0.1 0.01 0 301.101 97.2652 16535.9 -6104.53 -0.000378769 0.000593325
30209000 0.1 0.01 0 302.345 454.669 16564.2 -6153.76 -0.000316897 0.000500592
30210000 0.1 0.01 0 296.263 -1063.76 16876.4 -6072.29 -0.000366061 0.000571143
30211000 0.1 0.01 0 298.703 -186.04 16757.4 -6090.32 -0.000512453 0.000776164
30212000 0.1 0.01 0 309.337 -249.727 16428.8 -6110.21 -0.000388746 0.000604517
30213000 0.1 0.01 0 313.332 995.095 16246.5 -6109.73 -0.000303371 0.000481678
30214000 0.1 0.01 0 292.147 525.521 16564.3 -6116.01 -0.000561175 0.000854769
30215000 0.1 0.01 0 303.923 -116.548 16625.8 -6109.56 -0.00060808 0.000920749
30216000 0.1 0.01 0 297.541 -353.211 16778.5 -6083.37 -0.00031858 0.000502088
30217000 0.1 0.01 0 296.405 244.825 16518 -6115.45 -0.000584792 0.000889522
30218000 0.1 0.01 0 302.996 -500.665 16927.4 -6095.68 -0.000565302 0.000860565
30219000 0.1 0.01 0 314.11 -590.857 16731.1 -6031.5 -0.000431893 0.000668378
30220000 0.1 0.01 0 312.663 537.266 16083.9 -6136.41 -0.000497992 0.000764949
30221000 0.1 0.01 0 293.81 592.702 16550.2 -6086.29 -0.000651965 0.000985945
30222000 0.1 0.01 0 294.526 -459.998 16630.4 -6130.76 -0.000295998 0.00047234
30223000 0.1 0.01 0 306.77 290.894 16402.7 -6085.45 -0.000498513 0.000764639
30224000 0.1 0.01 0 315.284 86.7902 16640 -6016.29 -0.000493568 0.000756597
30225000 0.1 0.01 0 303.339 -318.568 16487.8 -6115.02 -0.000496552 0.000759912
30226000 0.1 0.01 0 294.107 -406.338 16839.8 -6032.56 -0.000432962 0.000666478
30227000 0.1 0.01 0 303.965 487.836 16792.4 -6043.76 -0.000232766 0.000381631
30228000 0.1 0.01 0 309.474 625.065 16672.5 -6085.74 -0.000693296 0.00104065
30229000 0.1 0.01 0 297.622 -114.036 16634.1 -6034.52 -0.000188237 0.000315808
30230000 0.1 0.01 0 295.31 -380.47 16620 -6115.95 -0.000190664 0.000323052
30231000 0.1 0.01 0 299.309 -124.964 16444.9 -6166.07 -0.000425967 0.000657851
30232000 0.1 0.01 0 307.918 -782.924 16538.6 -6129.41 -0.000372739 0.000582361
30233000 0.1 0.01 0 305.903 914.435 16562.6 -6076.14 -0.000566949 0.000862967
30234000 0.1 0.01 0 291.996 394.362 16509.8 -6123.96 -0.000545972 0.000830903
30235000 0.1 0.01 0 287.104 -378.277 16536.4 -6161.2 -0.000526666 0.000801651
30236000 0.1 0.01 0 296.265 -671.202 16695.8 -6032.38 -0.000428865 0.000661127
30237000 0.1 0.01 0 294.428 214.001 16340.3 -6062.53 -0.000513111 0.000787913
30238000 0.1 0.01 0 305.292 601.945 16477.8 -6080.21 -0.000590549 0.000894449
