# Time-averaged data for fix FEPout
# TimeStep v_param v_tinst v_pinst v_vinst v_pe c_pe_solute_bond c_pe_solute_pair c_pe_solvent_bond c_pe_solvent_pair c_pe_inter_pair
124000 1 0.816645 0.340295 123.047 -5.67985 0.688553 0 0 -558.128 -21.9058
125000 1 0.822653 0.401478 120.646 -5.85959 1.67823 0 0 -578.19 -21.1662
126000 1 0.726875 0.0255603 125.623 -5.65002 7.46144e-05 0 0 -555.445 -20.8566
127000 1 0.742703 -0.650583 125.432 -5.74801 0.0313775 0 0 -565.77 -20.5577
128000 1 0.651761 -0.2516 124.104 -5.73648 0.000214648 0 0 -562.391 -22.7294
129000 1 0.601164 -0.909097 130.858 -5.50739 0.0138248 0 0 -540.604 -21.1637
130000 1 0.649708 -0.701112 128.371 -5.60315 0.000511989 0 0 -551.911 -19.6109
131000 1 0.681484 0.570823 122.77 -5.73004 0.231407 0 0 -563.944 -20.7513
132000 1 0.680427 -0.142567 128.838 -5.44254 0.121687 0 0 -537.039 -18.2219
133000 1 0.623219 0.322894 119.436 -5.94 0.110297 0 0 -582.083 -23.9067
134000 1 0.597573 0.408883 128.258 -5.38055 1.19596 0 0 -531.026 -18.9862
135000 1 0.733636 0.22136 119.596 -5.93861 1.12599e-05 0 0 -585.123 -20.6146
136000 1 0.660018 0.718635 124.541 -5.57419 0.0982306 0 0 -546.161 -22.5051
137000 1 0.748908 0.788134 119.798 -5.83785 0.626252 0 0 -575.17 -20.9168
138000 1 0.738865 0.167949 121.768 -5.83196 1.09 0 0 -575.301 -20.6491
139000 1 0.713133 -0.115317 123.942 -5.77258 0.174972 0 0 -568.371 -20.6074
140000 1 0.640495 -0.679384 125.71 -5.73286 0.432059 0 0 -564.061 -21.1225
141000 1 0.642806 0.359365 125.153 -5.57785 0.030594 0 0 -547.297 -21.675
142000 1 0.742873 -0.0430476 128.029 -5.52961 0.329748 0 0 -544.627 -19.723
143000 1 0.696383 0.0371346 124.895 -5.64477 0.236932 0 0 -554.743 -21.261
144000 1 0.780271 0.928867 119.862 -5.79936 1.30236 0 0 -571.503 -21.3336
145000 1 0.762531 -0.0493853 122.982 -5.7716 0.811518 0 0 -567.707 -21.8073
146000 1 0.777996 -0.624103 131.123 -5.48296 0.559874 0 0 -538.734 -21.0871
147000 1 0.604366 0.0185803 120.479 -5.878 0.49134 0 0 -578.284 -21.7632
148000 1 0.722697 -0.129132 125.373 -5.62797 0.814989 0 0 -554.704 -20.1641
149000 1 0.722358 0.173711 125.751 -5.57716 0.00234989 0 0 -549.681 -19.1916
150000 1 0.676358 -0.348186 128.669 -5.49938 0.00409508 0 0 -539.821 -21.1204
151000 1 0.687708 0.0314207 125.945 -5.6163 0.0353953 0 0 -551.727 -21.1711
152000 1 0.590692 -0.179937 122.283 -5.83082 0.385626 0 0 -571.578 -23.5509
153000 1 0.69803 -0.0216864 127.017 -5.55229 0.0526126 0 0 -548.511 -17.8754
154000 1 0.662151 0.585736 121.591 -5.76603 3.16673 0 0 -567.719 -23.5831
155000 1 0.725791 0.392997 124.244 -5.62567 0.665325 0 0 -552.708 -21.7756
156000 1 0.750376 0.370821 124.015 -5.62966 0.464528 0 0 -551.855 -22.835
157000 1 0.705147 0.143152 125.889 -5.55957 0.111237 0 0 -546.997 -20.1902
158000 1 0.703043 -0.242944 123.884 -5.76118 0.0414164 0 0 -568.364 -19.3173
159000 1 0.746661 0.097537 123.159 -5.75653 0.414789 0 0 -567.959 -19.6216
160000 1 0.681689 -0.608455 130.811 -5.47156 0.000655826 0 0 -539.026 -19.0743
161000 1 0.712469 -0.201959 121.73 -5.85163 0.310459 0 0 -574.802 -22.3754
162000 1 0.709178 -0.192921 131.663 -5.32207 0.773083 0 0 -521.742 -21.8822
163000 1 0.686303 0.605759 121.401 -5.81736 0.131051 0 0 -572.114 -21.3873
164000 1 0.730503 0.119392 121.578 -5.81649 0.0493535 0 0 -571.801 -21.53
165000 1 0.674288 -0.185577 126.628 -5.62846 0.332533 0 0 -554.034 -20.4019
166000 1 0.630362 -0.40927 125.419 -5.69736 0.0373832 0 0 -558.535 -22.6337
167000 1 0.580357 -0.0541721 125.37 -5.62964 0.0133644 0 0 -553.414 -20.8225
168000 1 0.692742 -0.745388 125.17 -5.79263 0.00298789 0 0 -571.075 -19.7762
169000 1 0.66805 -0.338586 124.401 -5.70925 0.185664 0 0 -561.814 -20.7159
170000 1 0.644462 0.218022 125.229 -5.59003 0.00408154 0 0 -548.583 -21.6043
171000 1 0.66222 0.276438 121.116 -5.85023 0.455332 0 0 -573.093 -24.0859
172000 1 0.731469 -0.500364 128.273 -5.55346 0.804418 0 0 -544.325 -22.9325
173000 1 0.693071 0.33634 121.337 -5.8257 0.623189 0 0 -574.263 -20.5812
174000 1 0.714456 -0.368411 124.12 -5.74529 0.287982 0 0 -566.457 -19.8507
175000 1 0.762906 0.796902 121.124 -5.75451 0.0283883 0 0 -563.198 -23.7902
176000 1 0.789821 0.129276 125.09 -5.63488 0.0428627 0 0 -553.363 -21.4385
177000 1 0.757623 0.484062 125.064 -5.65483 0.215418 0 0 -557.022 -19.9852
178000 1 0.72318 0.258388 123.41 -5.6901 0.411603 0 0 -558.981 -21.8212
179000 1 0.705728 -0.47456 124.41 -5.77826 0.070976 0 0 -566.405 -23.0487
180000 1 0.67852 -0.359537 125.453 -5.622 1.92436 0 0 -555.05 -20.3179
181000 1 0.749421 0.641008 121.42 -5.7937 1.17747 0 0 -569.1 -23.0346
182000 1 0.733845 0.532876 122.8 -5.68867 2.0191 0 0 -560.374 -21.8895
183000 1 0.700792 0.101039 125.629 -5.68219 1.75494 0 0 -562.09 -19.248
184000 1 0.612664 -0.132926 124.133 -5.70163 1.08692 0 0 -560.024 -22.629
185000 1 0.568404 -0.278569 125.385 -5.66179 0.0142458 0 0 -556.437 -21.0797
186000 1 0.671104 -0.334598 125.727 -5.66735 0.05315 0 0 -557.441 -20.6822
187000 1 0.800709 -0.575037 126.035 -5.70216 0.155322 0 0 -561.401 -20.375
188000 1 0.748639 0.233479 123.598 -5.70414 0.0603393 0 0 -563.292 -18.59
189000 1 0.67823 0.205073 126.302 -5.52862 0.132223 0 0 -541.505 -22.5462
190000 1 0.616182 -0.236134 121.737 -5.88149 0.0955233 0 0 -578.037 -21.9703
191000 1 0.694168 -0.31015 127.168 -5.61358 0.0658847 0 0 -552.31 -20.3412
192000 1 0.726427 0.0125894 121.024 -5.91311 0.0451744 0 0 -582.285 -20.8966
193000 1 0.711134 -0.163699 124.796 -5.69263 0.0100929 0 0 -557.195 -23.4634
194000 1 0.65223 -0.347005 127.567 -5.5613 0.468985 0 0 -546.094 -21.6268
195000 1 0.666147 -0.275229 124.883 -5.74357 0.217815 0 0 -562.598 -23.4638
196000 1 0.628267 -0.264026 127.377 -5.59512 0.605213 0 0 -551.773 -19.5349
197000 1 0.5714 -0.501808 125.503 -5.6956 0.264182 0 0 -558.9 -22.3153
198000 1 0.746544 0.0247944 123.902 -5.76454 1.15718 0 0 -568.615 -20.5254
199000 1 0.693195 0.348881 125.141 -5.5687 0.252552 0 0 -549.298 -18.9624
