# Time-averaged data for fix FEPout
# TimeStep v_param v_tinst v_pinst v_vinst v_pe c_pe_solute_bond c_pe_solute_pair c_pe_solvent_bond c_pe_solvent_pair c_pe_inter_pair
6109000 1.2 0.693163 -0.572177 126.327 -5.74212 0.10561 0 0 -562.417 -23.3846
6110000 1.2 0.625391 0.366371 121.178 -5.86786 0.00392066 0 0 -572.297 -26.2292
6111000 1.2 0.675313 0.699953 117.603 -6.03038 0.0160916 0 0 -587.399 -27.7161
6112000 1.2 0.683108 0.0978469 126.089 -5.59954 0.0260368 0 0 -545.88 -25.2993
6113000 1.2 0.640523 -0.16034 125.268 -5.69528 0.380642 0 0 -558.018 -23.2818
6114000 1.2 0.613266 -0.938958 128.504 -5.67538 0.201915 0 0 -552.573 -26.5178
6115000 1.2 0.691378 -0.326497 123.994 -5.8103 0.000876131 0 0 -567.474 -25.1771
6116000 1.2 0.693246 0.243754 123.588 -5.7398 0.00794582 0 0 -559.731 -25.7367
6117000 1.2 0.748521 0.128246 119.83 -5.98769 0.0144619 0 0 -584.655 -26.104
6118000 1.2 0.653082 -0.176496 125.88 -5.598 1.61677 0 0 -546.588 -26.024
6119000 1.2 0.699734 -0.374121 128.7 -5.53636 0.00497326 0 0 -542.489 -22.2241
6120000 1.2 0.714619 -0.310504 121.549 -5.98883 0.122492 0 0 -582.566 -28.417
6121000 1.2 0.711836 0.627264 125.015 -5.58095 1.09085 0 0 -548.402 -21.9463
6122000 1.2 0.705526 0.589802 122.585 -5.71208 0.00474656 0 0 -554.659 -27.9772
6123000 1.2 0.8191 -0.210787 128.831 -5.51621 0.157899 0 0 -535.269 -27.5424
6124000 1.2 0.693752 -0.24464 122.202 -5.92621 0.370347 0 0 -578.211 -26.6323
6125000 1.2 0.783833 0.635143 125.606 -5.57467 1.35742 0 0 -544.596 -25.3774
6126000 1.2 0.685506 0.328637 122.275 -5.81179 0.251844 0 0 -567.816 -25.2387
6127000 1.2 0.706334 -0.337703 128.237 -5.63814 0.071264 0 0 -550.279 -24.8831
6128000 1.2 0.757959 0.146052 123.342 -5.79178 0.550918 0 0 -565.535 -25.7774
6129000 1.2 0.697649 -0.175653 127.424 -5.63409 0.155294 0 0 -547.954 -26.8782
6130000 1.2 0.575714 -0.233706 120.611 -5.98401 0.0238112 0 0 -583.308 -27.0849
6131000 1.2 0.718017 -1.00967 124.329 -5.89274 0.265738 0 0 -575.773 -25.5525
6132000 1.2 0.643776 -0.194998 123.614 -5.80613 0.0542052 0 0 -566.99 -25.2898
6133000 1.2 0.704352 0.613522 125.181 -5.57695 0.329362 0 0 -544.222 -24.956
6134000 1.2 0.597567 0.0491656 123.619 -5.70202 0.00612826 0 0 -553.667 -27.9448
6135000 1.2 0.73035 -0.56232 129.442 -5.56212 0.493898 0 0 -544.418 -23.4115
6136000 1.2 0.674841 0.17647 124.814 -5.6786 0.391037 0 0 -553.854 -25.7546
6137000 1.2 0.765735 0.0265923 125.576 -5.68594 0.955045 0 0 -554.048 -26.8729
6138000 1.2 0.658321 0.391168 118.796 -5.98416 0.0148879 0 0 -583.017 -27.3816
6139000 1.2 0.723775 -0.537572 126.995 -5.66951 0.0408141 0 0 -552.95 -25.3816
